,CV Accuracy,Training Accuracy
5,0.849052777,0.852092995
10,0.857775004,0.870397101
15,0.848069967,0.903934154
20,0.836430276,0.941402291
25,0.827401065,0.96944197
30,0.823654184,0.987500384
35,0.820214644,0.996038205
40,0.819324047,0.998771537
45,0.817573395,0.999631461
50,0.818709806,0.999969288
