0.10, 0.6191575091575092
0.20, 0.6096223316912972
0.30, 0.5987820061075875
0.40, 0.6326797194623028
0.50, 0.5932279402690362
0.60, 0.5976340800488418
0.70, 0.59186490503595
0.80, 0.5926626104592205
0.90, 0.6054533018876128
1.00, 0.6006579825562213


0.10, 0.8231292517006803
0.20, 0.8163265306122449
0.30, 0.81859410430839
0.40, 0.7465986394557823
0.50, 0.7659863945578231
0.60, 0.7755102040816326
0.70, 0.7521865889212828
0.80, 0.7372448979591837
0.90, 0.7256235827664399
1.00, 0.7374149659863946

